id,name,category,country,goal_usd,duration_days,launch_year,actual,predicted_p,n_recs,top_rec,top_rec_feature
538953498,Ever wanted to send a friend a personalized onion?,Art,US,2999.9999999999995,60.0,2015,0,0.1388537883758545,6,Your campaign length of 60 days is hurting your odds. Most successful campaigns run 21-35 days.,duration_days
550541409,Worship Music and God's Mission to the Nations,Music,US,14999.99999999999,30.0,2016,1,0.3925458788871765,5,Add a video. Campaigns without a video underperform meaningfully in this category.,has_video
736493386,A Lebanese Archive by Ania Dabrowska,Publishing,GB,20000.000000000015,30.0,2014,1,0.537428617477417,4,"Your goal of $20,000 may be too high for this profile. Consider lowering it.",log_goal
743016487,Norf: Web-Series,Film & Video,US,2999.9999999999995,60.0,2017,0,0.640172004699707,3,Your campaign length of 60 days is hurting your odds. Most successful campaigns run 21-35 days.,duration_days
778971182,THE ROAD TO MARRAKESH ~ MEETING WITH OUR MOROCCAN SISTERS!,Music,US,16000.000000000002,29.0,2013,1,0.8740425705909729,4,Google Trends interest for Music is currently soft. Either wait for the next interest peak or lean into your differentiators.,trend_score
827055054,Beirut directed by Robin Lefevre at Park Theatre,Theater,GB,5000.000000000003,28.0,2018,1,0.4238855540752411,5,Add a video. Campaigns without a video underperform meaningfully in this category.,has_video
831312711,eka3@Beirut,Music,GB,1250.0000000000005,22.0,2012,0,0.7922711968421936,4,Your launch hour (22:00) is associated with lower success. Late morning to early afternoon launches tend to perform better.,launch_hour
839131821,Log Cabins of Lebanon,Crafts,US,20000.000000000015,39.0,2022,0,0.2935815751552582,6,"Your goal of $20,000 may be too high for this profile. Consider lowering it.",log_goal
884434559,"BIRDS' NEST A Photographic Essay of Bourj Hammoud, Lebanon",Photography,US,17500.000000000015,30.0,2015,1,0.8020033240318298,2,Google Trends interest for Photography is currently soft. Either wait for the next interest peak or lean into your differentiators.,trend_score
935902358,Beyond the Cringe - A Camden Fringe Show,Theater,GB,1099.9999999999998,40.0,2014,1,0.7987971305847168,3,Your launch hour (23:00) is associated with lower success. Late morning to early afternoon launches tend to perform better.,launch_hour
1042671845,"Lucky's Coffee Garage: On the Green in Lebanon, NH",Food,US,14999.99999999999,30.0,2017,1,0.6507488489151001,3,Google Trends interest for Food is currently soft. Either wait for the next interest peak or lean into your differentiators.,trend_score
1043625006,Support the Lebanese Pavilion at the Biennale of Venice '25,Design,GB,25000.000000000004,40.0,2025,1,0.3829593062400818,3,"Your goal of $25,000 may be too high for this profile. Consider lowering it.",log_goal
1057954214,AUTOMNE AU LEVANT,Comics,FR,2999.9999999999995,25.0,2025,1,0.958317220211029,2,Your blurb is hard to read at a glance. Simplify the language.,blurb_readability
1067293203,Dyafeh: A Taste of Lebanon,Food,GB,2999.9999999999995,30.0,2022,0,0.43781188130378723,3,Add a video. Campaigns without a video underperform meaningfully in this category.,has_video
1107869389,Return to Roots,Food,GB,999.9999999999999,30.0,2023,1,0.6734541058540344,3,Add a video. Campaigns without a video underperform meaningfully in this category.,has_video
1137875028,ARSAL - A BORDERLAND TALE,Comics,FR,12999.999999999995,40.0,2022,1,0.8683444857597351,4,A small dose of energy helps - consider rephrasing to sound more confident.,blurb_has_exclaim
1144083418,back to basics: authentic  lebanese  cuisine.,Food,AU,50000.000000000015,30.0,2015,0,0.020461566746234894,5,"Your goal of $50,000 may be too high for this profile. Consider lowering it.",log_goal
1231436415,"""We Are the Ones Who Live Here"" podcast - Season 2",Journalism,US,8800.000000000004,30.0,2023,1,0.4845491647720337,5,Your planned launch day-of-week (Friday) is associated with lower success. Tuesdays and Wednesdays tend to perform best.,launch_dow
1339056739,No Woman's Land,Photography,CA,35000.00000000001,30.0,2025,1,0.8127716183662415,2,"Your goal of $35,000 may be too high for this profile. Consider lowering it.",log_goal
1479379079,Live Love Recycle: Let's Reduce Lebanon's Waste Crisis,Design,US,50000.000000000015,30.0,2019,1,0.44615647196769714,3,"Your goal of $50,000 may be too high for this profile. Consider lowering it.",log_goal
1559160118,Beirut Through Our Eyes,Film & Video,US,20000.000000000015,30.0,2015,0,0.41901466250419617,4,Add a video. Campaigns without a video underperform meaningfully in this category.,has_video
1573743464,Help fund Flying Kebab #4,Film & Video,US,299.9999999999999,22.0,2009,1,0.8469749689102173,1,Google Trends interest for Film & Video is currently soft. Either wait for the next interest peak or lean into your differentiators.,trend_score
1635088339,Creating custom Soccer kits with Syrian Refugees,Design,GB,499.9999999999999,30.0,2018,1,0.5950048565864563,4,Your launch hour (22:00) is associated with lower success. Late morning to early afternoon launches tend to perform better.,launch_hour
1665340450,Tabkh el Mama: A Lebanese Mother's Kitchen,Publishing,FR,5000.000000000003,30.0,2020,1,0.8192723393440247,3,Add a video. Campaigns without a video underperform meaningfully in this category.,has_video
1678180048,"BEIRUT, LADY OF LEBANON",Theater,US,29999.99999999999,60.0,2016,0,0.3442647457122803,5,Your campaign length of 60 days is hurting your odds. Most successful campaigns run 21-35 days.,duration_days
1703580443,Peirene Now! No. 3: Shatila Stories,Publishing,GB,8500.000000000005,32.0,2017,1,0.8043807148933411,3,Add a video. Campaigns without a video underperform meaningfully in this category.,has_video
1824032438,"BEIRUT, LADY OF LEBANON",Theater,US,4000.0000000000014,45.0,2017,1,0.7209243774414062,5,Your launch hour (1:00) is associated with lower success. Late morning to early afternoon launches tend to perform better.,launch_hour
1835913508,Sguardo: Frames of a Nation,Art,IT,2999.9999999999995,38.0,2024,1,0.7149925231933594,3,Add a video. Campaigns without a video underperform meaningfully in this category.,has_video
1870316880,Savore Shawarma Spices : The Pleasure Of Enjoying Flavors,Food,CA,12500.0,25.0,2023,0,0.7083890438079834,2,"Your goal of $12,500 may be too high for this profile. Consider lowering it.",log_goal
1939505575,The Lebnani Cookbook,Food,GB,10999.999999999993,30.0,2025,1,0.6658805012702942,3,Your launch month (July) is a weaker month for this category. Consider shifting the launch.,launch_month
1952242703,Class B (working title),Film & Video,GB,2500.0000000000005,29.0,2017,0,0.5585090517997742,2,Add a video. Campaigns without a video underperform meaningfully in this category.,has_video
2034607643,SAJisfaction: Food from the heart of Beirut,Food,CA,6500.000000000003,30.0,2020,0,0.35124126076698303,5,Add a video. Campaigns without a video underperform meaningfully in this category.,has_video
2044030058,Northern Lebanon Bulletin Print Edition,Journalism,US,2000.0,40.0,2023,0,0.5477574467658997,4,Add a video. Campaigns without a video underperform meaningfully in this category.,has_video
2090711716,Behind The Winds,Film & Video,US,6999.999999999998,17.0,2019,0,0.6920791864395142,4,Add a video. Campaigns without a video underperform meaningfully in this category.,has_video
2104260337,A Moving Feast: A food truck for refugees in Lebanon,Food,GB,30744.000000000007,30.0,2015,1,0.30084800720214844,4,"Your goal of $30,744 may be too high for this profile. Consider lowering it.",log_goal
2145986694,Imee's Lebanese Kitchen,Food,US,25000.000000000004,59.0,2019,0,0.2117726355791092,6,Your campaign length of 59 days is hurting your odds. Most successful campaigns run 21-35 days.,duration_days
